x,z,Density,Nu_Tilde,Pressure,Temperature,U,W,dUdX,dWdX,dUdZ,dWdZ,d2UdX2,d2WdZ2,dNu_tdX,dNu_tdZ
0.189945,0,1.31963,0,114463,302.166,0,0,0,0,369404,-24.0819,0,6589360,0,1.12784
0.177022,0,1.31964,0,114463,302.164,0,0,0,0,373120,-24.5692,0,6740130,0,1.1332
0.164573,0,1.31965,0,114464,302.162,0,0,0,0,376988,-25.0819,0,6900340,0,1.13874
0.152563,0,1.31966,0,114464,302.159,0,0,0,0,381028,-25.6239,0,7071230,0,1.14449
0.140958,0,1.31968,0,114464,302.157,0,0,0,0,385264,-26.1979,0,7253980,0,1.1505
0.129728,0,1.3197,0,114465,302.154,0,0,0,0,389723,-26.81,0,7450340,0,1.15678
0.118848,0,1.31971,0,114465,302.151,0,0,0,0,394440,-27.4612,0,7662080,0,1.16339
0.108291,0,1.31973,0,114466,302.148,0,0,0,0,399454,-28.1658,0,7892720,0,1.17037
0.0980356,0,1.31975,0,114466,302.144,0,0,0,0,404813,-28.9211,0,8145120,0,1.17778
0.0880596,0,1.31977,0,114466,302.14,0,0,0,0,410576,-29.7603,0,8426110,0,1.1857
0.0783437,0,1.3198,0,114467,302.136,0,0,0,0,416817,-30.6561,0,8738180,0,1.19422
0.06887,0,1.31983,0,114467,302.13,0,0,0,0,423631,-31.6986,0,9094850,0,1.20345
0.0596216,0,1.31986,0,114468,302.124,0,0,0,0,431143,-32.7668,0,9493760,0,1.21354
0.0505828,0,1.3199,0,114468,302.116,0,0,0,0,439522,-34.1562,0,9972940,0,1.22468
0.0417392,0,1.31994,0,114468,302.107,0,0,0,0,449031,-35.3547,0,10514600,0,1.23718
0.0330772,0,1.31999,0,114469,302.096,0,0,0,0,460123,-37.7176,0,11297200,0,1.25149
0.0245838,0,1.32004,0,114468,302.083,0,0,0,0,474011,-37.9303,0,12330000,0,1.26876
0.0162473,0,1.32012,0,114470,302.069,0,0,0,0,495036,-51.4943,0,16605900,0,1.29266
0.0080562,0,1.32,0,114454,302.058,0,0,0,0,546733,-100.836,203046,35938000,0,1.34109
