Epoch,Learning rate,Training loss,Testing loss,RANS loss,BC loss,Sample loss
5.341000000000000000e+03,5.904900000000001689e-05,2.470843431164223148e+03,1.290397143510032265e+02,3.055803437500000186e+01,3.337353897094726740e+00,1.376297764973072724e+01
5.390000000000000000e+03,5.904900000000001689e-05,2.469931642985275630e+03,1.289094262754805698e+02,3.004153125000000202e+01,3.347419738769531250e+00,1.374754791725361613e+01
5.439000000000000000e+03,5.904900000000001689e-05,2.469110369903268747e+03,1.286569313702821944e+02,2.943966562499999995e+01,3.356538772583007812e+00,1.372076456021372337e+01
5.488000000000000000e+03,5.904900000000001689e-05,2.468274998979645261e+03,1.285722565339830794e+02,2.891763750000000144e+01,3.363122940063476562e+00,1.370912265880196657e+01
5.537000000000000000e+03,5.904900000000001689e-05,2.467341550761714643e+03,1.282858891422260683e+02,2.811816875000000238e+01,3.367866516113281250e+00,1.367804629221127044e+01
5.586000000000000000e+03,5.904900000000001689e-05,2.466414039231423430e+03,1.282094652351020443e+02,2.755595937500000048e+01,3.367517852783203480e+00,1.366739304790097975e+01
5.635000000000000000e+03,5.904900000000001689e-05,2.465480294359817890e+03,1.279949568393412278e+02,2.696821562500000269e+01,3.365575408935546964e+00,1.364241803723888324e+01
5.684000000000000000e+03,5.904900000000001689e-05,2.464455691437986388e+03,1.276872638116716843e+02,2.619890468750000068e+01,3.360919570922851651e+00,1.360867974835404226e+01
5.733000000000000000e+03,5.904900000000001689e-05,2.463278825540205162e+03,1.277455762010904721e+02,2.565801250000000167e+01,3.347413253784179865e+00,1.360944988258108346e+01
5.782000000000000000e+03,5.904900000000001689e-05,2.462084733089734073e+03,1.270339914443817833e+02,2.442657343750000010e+01,3.345415878295898704e+00,1.353729605623750665e+01
5.831000000000000000e+03,5.904900000000001689e-05,2.460821218795015739e+03,1.269709472277775291e+02,2.368196718749999974e+01,3.331963348388672141e+00,1.352577534479262056e+01
